bill_date,api_key_id,api_key_name,api_key_prefix,group_name,request_count,actual_cost_usd
2026/4/25,1458,test2,sk-0f5da501a,老狗-Claude-满血官转,2,0.00336
2026/4/25,1459,test3,sk-04345586a,老狗-Claude-满血官转,7,70.509163
2026/4/25,1465,test1,sk-727d796ca,pro号池,2,0.190858
2026/4/27,1467,test3,sk-fb028ec51,pro号池,11,0.023983
2026/4/27,1583,image,sk-a4dd8bb2e,【限时半价】gpt-image,1,1
2026/4/27,1599,无限额,sk-cadc3afbc,【限时半价】gpt-image,3,3
2026/4/28,1465,test1,sk-727d796ca,pro号池,2,0.00045
2026/4/28,1583,image,sk-a4dd8bb2e,【限时半价】gpt-image,7,3
2026/4/28,1798,oris-image-test,sk-c83a13dd8,【限时半价】gpt-image,19,8.6
2026/4/28,1803,oris-image-gpt,sk-9adcb998d,pro号池,1,0.000163
2026/4/29,1798,oris-image-test,sk-c83a13dd8,【限时半价】gpt-image,10,5
2026/4/30,1798,oris-image-test,sk-c83a13dd8,【限时半价】gpt-image,124,54.2
2026/4/30,2041,test_gpt5,sk-28f0bfefd,pro号池,745,80.629861
2026/4/30,2091,lingchuang-image-2,sk-af606e79b,【限时半价】gpt-image,3,1.2
2026/4/30,2168,oris-image-test-yh,sk-9489aca83,【限时半价】gpt-image,1,0.5
2026/5/1,1798,oris-image-test,sk-c83a13dd8,【限时半价】gpt-image,104,43.8
2026/5/1,2041,test_gpt5,sk-28f0bfefd,pro号池,1338,98.993195
2026/5/1,2168,oris-image-test-yh,sk-9489aca83,【限时半价】gpt-image,7,3.4
2026/5/2,2041,test_gpt5,sk-28f0bfefd,pro号池,1765,129.321678
2026/5/3,2041,test_gpt5,sk-28f0bfefd,pro号池,2202,166.211106
2026/5/4,1798,oris-image-test,sk-c83a13dd8,【限时半价】gpt-image,22,8.9
2026/5/4,2041,test_gpt5,sk-28f0bfefd,pro号池,3258,272.841215
2026/5/5,2041,test_gpt5,sk-28f0bfefd,pro号池,1807,151.312838
2026/5/6,2041,test_gpt5,sk-28f0bfefd,pro号池,71,8.948919
2026/5/6,2091,lingchuang-image-2,sk-af606e79b,【限时半价】gpt-image,4,1.6
