api_key_id,api_key_name,api_key_prefix,group_name,request_count,active_day_count,first_bill_date,last_bill_date,actual_cost_usd
3965,laogou_prod_gpt-0614,sk-f73d4acbd,pro号池,90139,23,2026/6/14,2026/7/6,9175.300561
2786,test_gpt6,sk-054edaefe,pro号池,14293,22,2026/5/6,2026/6/13,1894.033953
3964,laogou_prod_claude-0614,sk-1288587cd,老狗-Claude-满血官转,397,14,2026/6/14,2026/7/2,1368.803692
2041,test_gpt5,sk-28f0bfefd,pro号池,11186,7,2026/4/30,2026/5/6,908.258812
3968,laogou_dev_gpt-0614,sk-7f174f7d1,pro号池,2577,10,2026/6/14,2026/6/26,286.664827
3480,sub2api-gpt,sk-ef7c575f1,pro号池,2112,11,2026/5/15,2026/6/14,137.087229
1798,oris-image-test,sk-c83a13dd8,【限时半价】gpt-image,279,5,2026/4/28,2026/5/4,120.5
3966,laogou_dev_claude-0614,sk-8be400e9c,老狗-Claude-满血官转,36,9,2026/6/14,2026/6/26,94.480589
3689,laogou_loacl_gpt,sk-9fddb2eb1,pro号池,738,8,2026/5/21,2026/6/14,76.455662
1459,test3,sk-04345586a,老狗-Claude-满血官转,7,1,2026/4/25,2026/4/25,70.509163
3699,laogou_dev_image,sk-aa9f0648d,【限时半价】gpt-image,34,3,2026/5/21,2026/6/3,16.9
3677,test-jumpx-image,sk-07faad8d1,【限时半价】gpt-image,18,5,2026/5/20,2026/5/25,10
1583,image,sk-a4dd8bb2e,【限时半价】gpt-image,8,2,2026/4/27,2026/4/28,4
2168,oris-image-test-yh,sk-9489aca83,【限时半价】gpt-image,8,2,2026/4/30,2026/5/1,3.9
1769,aippt-test-image2,sk-005da313e,【限时半价】gpt-image,7,2,2026/6/11,2026/6/12,3.4
1599,无限额,sk-cadc3afbc,【限时半价】gpt-image,3,1,2026/4/27,2026/4/27,3
2091,lingchuang-image-2,sk-af606e79b,【限时半价】gpt-image,7,2,2026/4/30,2026/5/6,2.8
3697,laogou_dev_claude,sk-9d3d9c3bd,老狗-Claude-满血官转,4,2,2026/5/23,2026/6/10,2.105705
3693,laogou_prod_gpt,sk-170c9cf3d,pro号池,12,1,2026/6/14,2026/6/14,0.933121
3479,sub2api-claude,sk-fe8ebdd9d,老狗-Claude-满血官转,10,1,2026/6/10,2026/6/10,0.734433
4005,test-image1,sk-a4294dc87,【限时半价】gpt-image,243,8,2026/6/26,2026/7/3,0.695115
3692,laogou_loacl_image,sk-f62bf98a1,【限时半价】gpt-image,3,2,2026/5/21,2026/6/7,0.512093
3925,test-claude,sk-ccc15d4d3,老狗-Claude-满血官转,9,2,2026/6/10,2026/6/13,0.273698
1465,test1,sk-727d796ca,pro号池,4,2,2026/4/25,2026/4/28,0.191308
1467,test3,sk-fb028ec51,pro号池,11,1,2026/4/27,2026/4/27,0.023983
3481,sub2api-image,sk-6c2042137,【限时半价】gpt-image,1,1,2026/6/13,2026/6/13,0.00585
2705,测试,sk-16e4c1fc0,pro号池,5,2,2026/5/6,2026/5/8,0.004653
1458,test2,sk-0f5da501a,老狗-Claude-满血官转,2,1,2026/4/25,2026/4/25,0.00336
1466,test2,sk-1fc3888d1,pro号池,1,1,2026/5/20,2026/5/20,0.000203
1803,oris-image-gpt,sk-9adcb998d,pro号池,1,1,2026/4/28,2026/4/28,0.000163
4004,test,sk-e0ee18620,【限时半价】gpt-image,1,1,2026/6/23,2026/6/23,0.000055
