bill_date,request_count,active_key_count,actual_cost_usd
2026/4/25,11,3,70.703381
2026/4/27,15,3,4.023983
2026/4/28,29,4,11.600613
2026/4/29,10,1,5
2026/4/30,873,4,136.529861
2026/5/1,1449,3,146.193195
2026/5/2,1765,1,129.321678
2026/5/3,2202,1,166.211106
2026/5/4,3280,2,281.741215
2026/5/5,1807,1,151.312838
2026/5/6,338,4,86.656763
2026/5/7,1025,1,208.418871
2026/5/8,222,2,34.144682
2026/5/15,4,1,0.003192
2026/5/20,58,4,4.18657
2026/5/21,1289,5,141.935789
2026/5/22,578,4,78.302712
2026/5/23,797,2,182.504773
2026/5/24,6,1,4
2026/5/25,2,1,1
2026/5/27,373,2,47.468392
2026/5/30,2,1,2.309507
2026/5/31,1225,1,130.506937
2026/6/1,1212,1,141.37497
2026/6/2,1594,2,197.690846
2026/6/3,1036,3,123.947124
2026/6/4,940,1,106.295933
2026/6/5,1129,1,110.645236
2026/6/6,17,1,1.328789
2026/6/7,473,4,55.872098
2026/6/8,548,3,61.931159
2026/6/9,314,2,43.858388
2026/6/10,432,5,55.537643
2026/6/11,397,2,36.634822
2026/6/12,1132,3,88.443
2026/6/13,1816,5,169.125108
2026/6/14,2702,7,267.008646
2026/6/15,2764,4,329.948731
2026/6/16,4286,4,436.736782
2026/6/17,4035,1,435.83398
2026/6/18,3096,2,332.846439
2026/6/19,3391,4,362.530213
2026/6/20,4440,4,532.447961
2026/6/21,5507,4,655.337153
2026/6/22,4422,2,494.222559
2026/6/23,3872,4,432.912586
2026/6/24,7181,4,760.226817
2026/6/25,4967,1,423.295688
2026/6/26,5510,5,611.599778
2026/6/27,6801,3,897.637109
2026/6/28,3675,3,351.008566
2026/6/29,3235,3,310.335056
2026/6/30,2672,2,268.916785
2026/7/1,3515,3,991.470059
2026/7/2,2810,3,378.166858
2026/7/3,2872,2,304.854193
2026/7/4,3910,1,479.726868
2026/7/5,4812,1,521.167846
2026/7/6,3281,1,386.586384
